Slide,slide_no_to_be_made,chart,widget_id,Columns,chart_creat_type,chart_category,my_legends_col,my_chart_col,x_axis_interval,chart_key_param,no_col_row,scale_shape_manual,weight,special_case,chart_pri_axis,chart_sec_axis,Division,graph_lim,function_param,chart_type,chart_source,chart_title,chart_sub_title,slide_heading,slide_sub_heading,Note,Comment
2,,C,[2212772],"['Relevant_Date','Two-Wheeler']",table,3 table,,,12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales Performance,,Cumulative - ,,,
3,,A,[2213074],"['Relevant_Date','Passenger Vehicle - December Performance']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[200,400]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - December Performance,,Passenger Vehicle - December Performance,,,
3,,B,[2213076],"['Relevant_Date','Two Wheeler - December Performance']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[1.5,2.5]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - December Performance,,Two-Wheeler - December Performance,,,
3,,C,[2213092],"['Relevant_Date','Three Wheeler - December Performance']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - December Performance,,Three-Wheeler - December Performance,,,
4,,A,[2213063],"['Relevant_Date','Passenger Vehicle - Q3 Performance']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - Q3(Oct-Dec) Performance,,Passenger Vehicle - Q3 Performance,,,
4,,B,[2213071],"['Relevant_Date','Two Wheeler - Q3 Performance']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - Q3(Oct-Dec) Performance,,Two-Wheeler - Q3 Performance,,,
4,,C,[2213067],"['Relevant_Date','Three Wheeler - Q3 Performance']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - Q3(Oct-Dec) Performance,,Three-Wheeler - Q3 Performance,,,
4,,D,[2213059],"['Relevant_Date','Commercial Vehicle - Q3 Performance']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - Q3(Oct-Dec) Performance,,Commercial Vehicle - Q3 Performance,,,
5,,A,[2212769],"['Relevant_Date','Passenger Vehicle']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Monthly Domestic Sales Cumulative - ,,Passenger Vehicle,,,
5,,B,[2212772],"['Relevant_Date','Two Wheeler']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Monthly Domestic Sales Cumulative - ,,Two-Wheeler,,,
5,,C,[2212774],"['Relevant_Date','Three Wheeler']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Monthly Domestic Sales Cumulative - ,,Three-Wheeler,,,
6,,A,[2230626],"['Relevant_Date','Passenger Vehicle -CY(Jan-Dec) Performance']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - CY(Jan-Dec) Performance,,Passenger Vehicle - CY Performance,,,
6,,B,[2230634],"['Relevant_Date','Two Wheeler - CY(Jan-Dec) Performance']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - CY(Jan-Dec) Performance,,Two-Wheeler - CY Performance,,,
6,,C,[2230632],"['Relevant_Date','Three Wheeler - CY(Jan-Dec) Performance']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - CY(Jan-Dec) Performance,,Three-Wheeler - CY Performance,,,
6,,D,[2230623],"['Relevant_Date','Commercial Vehicle - CY(Jan-Dec) Performance']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Domestic Sales - CY(Jan-Dec) Performance,,Commercial  Vehicle - CY Performance,,,
7,,A,[2214292],"['Relevant_Date','PVs - Passenger Cars - Q3 Domestic Sales']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Passenger Vehicle: Sub-Category - Q3 Performance,,PVs - Passenger Cars - Q3 Domestic Sales,,,
7,,B,[2214295],"['Relevant_Date','PVs - Utility Vehicles - Q3 Domestic Sales']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Passenger Vehicle: Sub-Category - Q3 Performance,,PVs - Utility Vehicles - Q3 Domestic Sales,,,
7,,C,[2214298],"['Relevant_Date','PVs - Vans - Q3 Domestic Sales']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Passenger Vehicle: Sub-Category - Q3 Performance,,PVs - Vans - Q3 Domestic Sales,,,
8,,A,[2214290],"['Relevant_Date','CVs - M&HCV - Q3 Domestic Sales']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles: Sub-Category - Q3 Performance,,M&HCV - Q3 Domestic Sales,,,
8,,B,[2214287],"['Relevant_Date','CVs - LCV - Q3 Domestic Sales']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles: Sub-Category - Q3 Performance,,LCV - Q3 Domestic Sales,,,
9,,A,[2232381],"['Relevant_Date','M&HCV Passenger - Q3 Domestic Sales ']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[50,250]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles- Passengers & Goods - Q3 Performance,,M&HCV Passenger - Q3 Domestic Sales ,,,
9,,B,[2232382],"['Relevant_Date','M&HCV Goods - Q3 Domestic Sales ']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[5,20]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles- Passengers & Goods - Q3 Performance,,M&HCV Goods - Q3 Domestic Sales ,,,
9,,C,[2232379],"['Relevant_Date','LCV Passenger - Q3 Domestic Sales ']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[20,50]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles- Passengers & Goods - Q3 Performance,,LCV Passenger - Q3 Domestic Sales ,,,
9,,D,[2232380],"['Relevant_Date','LCV Goods - Q3 Domestic Sales ']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[5,30]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles- Passengers & Goods - Q3 Performance,,LCV Goods - Q3 Domestic Sales ,,,
10,,A,[2214300],"['Relevant_Date','Three Wheelers - Passenger - Q3 Domestic Sales']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Three Wheelers - Passenger & Goods - Q3 Performance,,Three-Wheeler - Passenger - Q3 Domestic Sales,,,
10,,B,[2214303],"['Relevant_Date','Three Wheelers - Goods - Q3 Domestic Sales']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Three Wheelers - Passenger & Goods - Q3 Performance,,Three-Wheeler - Goods - Q3 Domestic Sales,,,
11,,A,[2214306],"['Relevant_Date','Two Wheelers - Scooters - Q3 Performance']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Two Wheelers Sub-Category - Q3 Performance,,Two-Wheeler - Scooters - Q3 Performance,,,
11,,B,[2214308],"['Relevant_Date','Two Wheelers - Motorcycles - Q3 Performance']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Two Wheelers Sub-Category - Q3 Performance,,Two-Wheeler - Motorcycles - Q3 Performance,,,
11,,C,[2214311],"['Relevant_Date','Two Wheelers - Mopeds - Q3 Performance']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Two Wheelers Sub-Category - Q3 Performance,,Two-Wheeler - Mopeds - Q3 Performance,,,
12,,A,[2213035],"['Relevant_Date','Passenger Vehicle Exports (Q3)']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Q3 Export Performance,,Passenger Vehicle Exports (Q3),,,
12,,B,[2213041],"['Relevant_Date','Two Wheeler Exports (Q3)']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Q3 Export Performance,,Two-Wheeler Exports (Q3),,,
12,,C,[2213062],"['Relevant_Date','Three Wheeler Exports (Q3)']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Q3 Export Performance,,Three-Wheeler Exports (Q3),,,
12,,D,[2214724],"['Relevant_Date','Commercial Vehicle Exports (Q3)']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,FALSE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Q3 Export Performance,,Commercial Vehicle Exports (Q3),,,
13,,A,[2230660],"['Relevant_Date','PVs - Passenger Cars - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Passenger Vehicle: Sub-Category - CY(Jan-Dec) Performance,,PVs - Passenger Cars - CY Domestic Sales,,,
13,,B,[2230661],"['Relevant_Date','PVs - Utility Vehicles - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Passenger Vehicle: Sub-Category - CY(Jan-Dec) Performance,,PVs - Utility Vehicles - CY Domestic Sales,,,
13,,C,[2230662],"['Relevant_Date','PVs - Vans - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#57A0D3""]","[""#57A0D3""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Passenger Vehicle: Sub-Category -CY(Jan-Dec) Performance,,PVs - Vans - CY Domestic Sales,,,
14,,A,[2230659],"['Relevant_Date','M&HCV - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles: Sub-Category - CY(Jan-Dec) Performance,,M&HCV - CY Domestic Sales,,,
14,,B,[2230658],"['Relevant_Date','LCV - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles: Sub-Category - CY(Jan-Dec) Performance,,LCV - CY Domestic Sales,,,
15,,A,[2230644],"['Relevant_Date','M&HCV Passenger - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance,,M&HCV Passenger - CY Domestic Sales ,,,
15,,B,[2230645],"['Relevant_Date','M&HCV Goods - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance,,M&HCV Goods - CY Domestic Sales ,,,
15,,C,[2230642],"['Relevant_Date','LCV Passenger - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance,,LCV Passenger - CY Domestic Sales ,,,
15,,D,[2230643],"['Relevant_Date','LCV Goods - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#FFCCCB""]","[""#FFCCCB""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance,,LCV Goods - CY Domestic Sales ,,,
16,,A,[2230663],"['Relevant_Date','Three Wheelers - Passenger - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Three Wheelers - Passenger & Goods - CY(Jan-Dec) Performance,,Three-Wheeler - Passenger - CY Domestic Sales,,,
16,,B,[2230664],"['Relevant_Date','Three Wheelers - Goods - CY(Jan-Dec) Domestic Sales']",bar,stacked bar,"[""#EEDC82""]","[""#EEDC82""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Three Wheelers - Passenger & Goods - CY(Jan-Dec) Performance,,Three-Wheeler - Goods - CY Domestic Sales,,,
17,,A,[2230665],"['Relevant_Date','Two Wheelers - Scooters - CY(Jan-Dec) Performance']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Two Wheelers Sub-Category - CY(Jan-Dec) Performance,,Two-Wheeler - Scooters - CY Performance,,,
17,,B,[2230666],"['Relevant_Date','Two Wheelers - Motorcycles - CY(Jan-Dec) Performance']",bar,stacked bar,"[""#ACDF87""]","[""#ACDF87""]",12 months,"[0.10,10,0.60,0.60,0.60,0.60,4]","[1,3]",Null,FALSE,TRUE,"[60,130]",null,3,90,"['','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','FALSE','','FALSE','','center','80','FALSE']",siam,In `000,Two Wheelers Sub-Category - CY(Jan-Dec) Performance,,Two-Wheeler - Motorcycles - CY Performance,,,
